path,true_label,predicted_label,prob_pneumonia,confidence,error_type,coarse_type
test/PNEUMONIA/20d3f1cf-6f6b-4119-8008-bc5c6e105464.png,PNEUMONIA,NORMAL,0.12645143,0.87354857,false_negative,false_negative
test/PNEUMONIA/1d247b6c-0687-40bf-839e-fd30e01c585d.png,PNEUMONIA,NORMAL,0.17346680,0.82653320,false_negative,false_negative
test/PNEUMONIA/2aae181e-a4b7-47f4-ac47-e99001b9008b.png,PNEUMONIA,NORMAL,0.28982779,0.71017221,false_negative,false_negative
test/PNEUMONIA/0c4c0dd9-1685-48c3-a09e-817816695016.png,PNEUMONIA,NORMAL,0.34748262,0.65251738,false_negative,false_negative
test/PNEUMONIA/357e0be1-1698-4b87-aa27-db197bc709ce.png,PNEUMONIA,NORMAL,0.34786415,0.65213585,false_negative,false_negative
test/PNEUMONIA/2c376b9a-167a-43d3-bcc2-b4af32fb9f74.png,PNEUMONIA,NORMAL,0.35469949,0.64530051,false_negative,false_negative
test/PNEUMONIA/2d09d0bb-a4fb-4a50-99c4-496ad756533e.png,PNEUMONIA,NORMAL,0.37461421,0.62538579,false_negative,false_negative
test/NORMAL/0821fe84-360a-4924-81c6-b8db9d345709.png,NORMAL,PNEUMONIA,0.99948883,0.99948883,high_confidence_false_positive,false_positive
test/NORMAL/0acc499c-802c-47e8-a297-87ea7d971462.png,NORMAL,PNEUMONIA,0.99896753,0.99896753,high_confidence_false_positive,false_positive
test/NORMAL/01d1f0be-5216-4af5-b2dc-a160c1c56122.png,NORMAL,PNEUMONIA,0.99884832,0.99884832,high_confidence_false_positive,false_positive
test/NORMAL/1947e51f-8e73-46b3-91ad-4d35489a2793.png,NORMAL,PNEUMONIA,0.99878043,0.99878043,high_confidence_false_positive,false_positive
test/NORMAL/1833d175-c9c8-40f3-9687-2a253e447579.png,NORMAL,PNEUMONIA,0.99870515,0.99870515,high_confidence_false_positive,false_positive
test/NORMAL/1483c479-9496-47e1-bfd2-bda652f83fc9.png,NORMAL,PNEUMONIA,0.99868220,0.99868220,high_confidence_false_positive,false_positive
test/NORMAL/06e30df6-253e-4a03-b16e-49305fb0f165.png,NORMAL,PNEUMONIA,0.99867815,0.99867815,high_confidence_false_positive,false_positive
test/NORMAL/17b402ae-5351-48aa-b2e5-d950d71d73b2.png,NORMAL,PNEUMONIA,0.99863571,0.99863571,high_confidence_false_positive,false_positive
test/NORMAL/115d5f48-c01c-485a-8d92-da9529dd428b.png,NORMAL,PNEUMONIA,0.99856180,0.99856180,high_confidence_false_positive,false_positive
test/NORMAL/0a842feb-40ac-44aa-bcf6-d37109e59006.png,NORMAL,PNEUMONIA,0.99854642,0.99854642,high_confidence_false_positive,false_positive
test/NORMAL/06b1975e-066e-4430-bf60-c0a9d82cfdc3.png,NORMAL,PNEUMONIA,0.99850523,0.99850523,high_confidence_false_positive,false_positive
